Year,HRWWorg,HRWWconv,Ncost,ante.pr,winter.pr,growing.pr,march.gdd,july.gdd
2000,5.84,2.5,0.270100847,80.86248289,48.32918545,136.7978501,108.2112401,1992.84693
2000,6.5,2.9,0.272363688,80.86248289,48.32918545,136.7978501,108.2112401,1992.84693
2001,6.54,3.02,0.456048103,47.90167852,54.26429056,163.0537591,68.1947392,1912.399346
2001,6.46,3.07,0.432045571,47.90167852,54.26429056,163.0537591,68.1947392,1912.399346
2001,5.75,3.04,0.384040508,47.90167852,54.26429056,163.0537591,68.1947392,1912.399346
2001,6.22,3.11,0.342036077,47.90167852,54.26429056,163.0537591,68.1947392,1912.399346
2002,5.54,3.07,0.265825704,45.68785792,49.38117887,145.9718446,99.02276296,1795.128799
2002,6.36,3.05,0.277246364,45.68785792,49.38117887,145.9718446,99.02276296,1795.128799
2002,7.15,3.68,0.267794783,45.68785792,49.38117887,145.9718446,99.02276296,1795.128799
2002,7.19,4.18,0.254011228,45.68785792,49.38117887,145.9718446,99.02276296,1795.128799
2003,6.68,3.82,0.415843862,81.59042089,83.72712151,180.922111,102.7917963,2008.298587
2003,6.72,3.32,0.415843862,81.59042089,83.72712151,180.922111,102.7917963,2008.298587
2003,6.37,3.26,0.388891019,81.59042089,83.72712151,180.922111,102.7917963,2008.298587
2003,6.62,3.6,0.385040613,81.59042089,83.72712151,180.922111,102.7917963,2008.298587
2004,6.46,3.6,0.38255385,21.13570992,78.20645348,139.5591488,105.0075665,1902.846598
2004,6.58,3.72,0.38255385,21.13570992,78.20645348,139.5591488,105.0075665,1902.846598
2004,6.1,3.38,0.38255385,21.13570992,78.20645348,139.5591488,105.0075665,1902.846598
2004,6.18,3.48,0.38255385,21.13570992,78.20645348,139.5591488,105.0075665,1902.846598
2005,6.5,3.42,0.444565171,49.68387405,71.86986282,257.1677809,199.5320214,1920.562516
2005,6.47,3.36,0.466875051,49.68387405,71.86986282,257.1677809,199.5320214,1920.562516
2005,6.15,3.15,0.486246557,49.68387405,71.86986282,257.1677809,199.5320214,1920.562516
2005,6.1,3.46,0.477032395,49.68387405,71.86986282,257.1677809,199.5320214,1920.562516
2006,6.26,3.57,0.451582354,72.50784016,88.0608976,161.4105598,152.3427959,2106.1357
2006,6.09,3.97,0.447716669,72.50784016,88.0608976,161.4105598,152.3427959,2106.1357
2006,6.5,4.15,0.428036815,72.50784016,88.0608976,161.4105598,152.3427959,2106.1357
2006,7.2,4.51,0.393597071,72.50784016,88.0608976,161.4105598,152.3427959,2106.1357
2007,6.93,4.61,0.551835463,75.95916793,103.6451383,227.3858855,109.8459983,2080.45982
2007,7.9,4.88,0.57951266,75.95916793,103.6451383,227.3858855,109.8459983,2080.45982
2007,10.31,5.66,0.574045559,75.95916793,103.6451383,227.3858855,109.8459983,2080.45982
2007,15.9,6.83,0.533042305,75.95916793,103.6451383,227.3858855,109.8459983,2080.45982
2008,18.47,7.42,0.668385423,51.10831709,80.12478411,182.6065632,80.90339707,1694.563488
2008,24.36,8.58,0.697770426,51.10831709,80.12478411,182.6065632,80.90339707,1694.563488
2008,20.15,7.85,0.866248832,51.10831709,80.12478411,182.6065632,80.90339707,1694.563488
2008,17.4,6.43,0.945716673,51.10831709,80.12478411,182.6065632,80.90339707,1694.563488
2009,13.5,5.78,0.532998136,105.7642025,82.35902301,152.9537226,125.2447307,1763.178484
2009,12,5.69,0.551491256,105.7642025,82.35902301,152.9537226,125.2447307,1763.178484
2009,9,5.02,0.459851242,105.7642025,82.35902301,152.9537226,125.2447307,1763.178484
2009,10,4.74,0.427983634,105.7642025,82.35902301,152.9537226,125.2447307,1763.178484
2010,10.63,4.85,0.519847913,90.9171513,91.02410567,169.4290333,108.7907153,1734.223532
2010,10.63,4.39,0.516598864,90.9171513,91.02410567,169.4290333,108.7907153,1734.223532
2010,10.75,4.81,0.501653236,90.9171513,91.02410567,169.4290333,108.7907153,1734.223532
2010,11.38,5.85,0.459740498,90.9171513,91.02410567,169.4290333,108.7907153,1734.223532
2011,11.5,6.16,0.610240904,127.7578798,90.12092661,340.9132822,77.38772565,1609.23881
2011,10.83,7.12,0.600004605,127.7578798,90.12092661,340.9132822,77.38772565,1609.23881
2011,11.33,6.91,0.590870676,127.7578798,90.12092661,340.9132822,77.38772565,1609.23881
2011,12.25,6.67,0.63780017,127.7578798,90.12092661,340.9132822,77.38772565,1609.23881
2012,11.5,6.54,0.61530293,30.49694273,74.97472242,122.2858989,146.3534683,2202.935621
2012,18.57,7.74,0.640297682,30.49694273,74.97472242,122.2858989,146.3534683,2202.935621
2012,19.65,7.97,0.728242183,30.49694273,74.97472242,122.2858989,146.3534683,2202.935621
2012,21.59,8.36,0.884999399,30.49694273,74.97472242,122.2858989,146.3534683,2202.935621
2012,21.95,8.43,0.935760348,30.49694273,74.97472242,122.2858989,146.3534683,2202.935621
2012,22.26,8.49,0.859387492,30.49694273,74.97472242,122.2858989,146.3534683,2202.935621
2012,20.78,8.2,0.714664787,30.49694273,74.97472242,122.2858989,146.3534683,2202.935621
2012,19.89,8.02,0.69892735,30.49694273,74.97472242,122.2858989,146.3534683,2202.935621
2012,18.62,7.75,0.703556008,30.49694273,74.97472242,122.2858989,146.3534683,2202.935621
2012,17.49,7.5,0.680721295,30.49694273,74.97472242,122.2858989,146.3534683,2202.935621
2012,17.44,7.49,0.653412213,30.49694273,74.97472242,122.2858989,146.3534683,2202.935621
2012,17.75,7.56,0.610982849,30.49694273,74.97472242,122.2858989,146.3534683,2202.935621
2013,16.84,7.35,0.604443534,22.32760502,65.91693206,206.5181734,88.32988509,1855.247843
2013,15.59,7.05,0.663747427,22.32760502,65.91693206,206.5181734,88.32988509,1855.247843
2013,15.19,6.95,0.685036005,22.32760502,65.91693206,206.5181734,88.32988509,1855.247843
2013,15.07,6.92,0.661770631,22.32760502,65.91693206,206.5181734,88.32988509,1855.247843
2013,16.41,7.25,0.600642002,22.32760502,65.91693206,206.5181734,88.32988509,1855.247843
2013,15.79,7.1,0.583154956,22.32760502,65.91693206,206.5181734,88.32988509,1855.247843
2013,14.8,6.85,0.536472148,22.32760502,65.91693206,206.5181734,88.32988509,1855.247843
2013,14.3,6.72,0.526892288,22.32760502,65.91693206,206.5181734,88.32988509,1855.247843
2013,14.01,6.64,0.50910112,22.32760502,65.91693206,206.5181734,88.32988509,1855.247843
2013,15.71,7.08,0.487356358,22.32760502,65.91693206,206.5181734,88.32988509,1855.247843
2013,16.12,7.18,0.485075439,22.32760502,65.91693206,206.5181734,88.32988509,1855.247843
2013,17.01,7.39,0.487356358,22.32760502,65.91693206,206.5181734,88.32988509,1855.247843
2014,15.15,6.94,0.531194671,93.21407022,150.6266858,209.6271666,123.4655488,1809.32433
2014,13.18,6.41,0.602917158,93.21407022,150.6266858,209.6271666,123.4655488,1809.32433
2014,11.91,6.03,0.638927823,93.21407022,150.6266858,209.6271666,123.4655488,1809.32433
2014,10.57,5.58,0.639525511,93.21407022,150.6266858,209.6271666,123.4655488,1809.32433
2014,10.3,5.48,0.6305602,93.21407022,150.6266858,209.6271666,123.4655488,1809.32433
2014,10.8,5.66,0.58692902,93.21407022,150.6266858,209.6271666,123.4655488,1809.32433
2014,12.07,6.08,0.532688889,93.21407022,150.6266858,209.6271666,123.4655488,1809.32433
2014,11.66,5.95,0.53194178,93.21407022,150.6266858,209.6271666,123.4655488,1809.32433
2014,10.46,5.54,0.53194178,93.21407022,150.6266858,209.6271666,123.4655488,1809.32433
2014,10.03,5.38,0.515505377,93.21407022,150.6266858,209.6271666,123.4655488,1809.32433
2014,9.98,5.36,0.484126788,93.21407022,150.6266858,209.6271666,123.4655488,1809.32433
2014,9.28,5.08,0.484126788,93.21407022,150.6266858,209.6271666,123.4655488,1809.32433
2015,9.72,5.26,0.503220109,140.5415722,86.51262257,209.3534932,228.3909775,2050.689911
2015,9.59,5.21,0.524293478,140.5415722,86.51262257,209.3534932,228.3909775,2050.689911
2015,8.13,4.55,0.509347826,140.5415722,86.51262257,209.3534932,228.3909775,2050.689911
2015,7.76,4.35,0.506059783,140.5415722,86.51262257,209.3534932,228.3909775,2050.689911
2015,7.96,4.46,0.496195652,140.5415722,86.51262257,209.3534932,228.3909775,2050.689911
2015,7.68,4.3,0.472282609,140.5415722,86.51262257,209.3534932,228.3909775,2050.689911
2015,7.75,4.34,0.472282609,140.5415722,86.51262257,209.3534932,228.3909775,2050.689911
2015,7.8,4.37,0.466304348,140.5415722,86.51262257,209.3534932,228.3909775,2050.689911
2015,7.54,4.22,0.466304348,140.5415722,86.51262257,209.3534932,228.3909775,2050.689911
2016,6.97,3.84,0.34,66.46196268,119.4092813,139.7821021,220.3872644,2038.092749
2016,6.39,3.32,0.34,66.46196268,119.4092813,139.7821021,220.3872644,2038.092749
